id,title,summary,source,source_group,country_or_region,published_at,topic,tags,url
N001,Policy meeting highlights AI-enabled industrial upgrading,An official evening bulletin outlines support for responsible AI adoption in manufacturing and public services.,cctv_xinwen_lianbo,china_policy,China,2026-06-20 19:00,China policy,AI;automation;industrial policy,https://example.com/demo-news-001
N002,Regional development plan prioritizes advanced manufacturing,A national policy update describes coordinated investment in robotics supply chains and workforce training.,xinhua,china_policy,China,2026-06-19 10:00,China policy,manufacturing;jobs;policy,https://example.com/demo-news-002
N003,Policy guidance emphasizes stable employment and skills,The guidance signals new local programs for graduate hiring and practical digital skills.,people_daily,china_policy,China,2026-06-18 09:00,Student jobs,jobs;skills;policy,https://example.com/demo-news-003
N004,Green transition agenda expands pilot city programs,The policy narrative links energy transition targets with local business participation and infrastructure upgrades.,cctv_news,china_policy,China,2026-06-17 12:00,Energy transition,energy;policy;small business,https://example.com/demo-news-004
N005,Small manufacturers trial affordable automation tools,A business survey finds smaller factories testing modular AI quality-control services with shorter payback periods.,yicai,china_business,China,2026-06-20 14:00,Small business automation,AI;automation;business opportunity,https://example.com/demo-news-005
N006,Consumer brands adjust to value-focused demand,Companies are redesigning product bundles as households compare prices more carefully.,caixin,china_business,China,2026-06-19 15:00,Consumer trends,consumer;pricing;business,https://example.com/demo-news-006
N007,Export firms diversify routes amid trade uncertainty,Mid-sized exporters are testing new logistics partners and regional marketplaces to reduce concentration risk.,economic_daily,china_business,China,2026-06-18 11:00,Global trade,trade;export;risk,https://example.com/demo-news-007
N008,Platform sellers invest in creator-led product launches,Merchants are combining short video campaigns with faster demand testing before committing inventory.,securities_times,china_business,China,2026-06-16 08:30,Creator economy,creator;platform;business opportunity,https://example.com/demo-news-008
N009,RBA rate outlook keeps household budgets cautious,A public explainer shows how persistent inflation and interest-rate uncertainty affect borrowers and renters.,abc_news,australia_public,Australia,2026-06-20 08:00,RBA interest rates,RBA;inflation;cost of living,https://example.com/demo-news-009
N010,Students seek flexible work as living costs rise,A local report maps increased demand for part-time digital and service roles among tertiary students.,sbs_news,australia_public,Australia,2026-06-19 16:00,Student jobs,jobs;students;cost of living,https://example.com/demo-news-010
N011,Housing affordability reshapes first-home choices,Buyers are considering smaller homes and longer commutes while comparing financing scenarios.,guardian_australia,australia_public,Australia,2026-06-18 07:30,Housing affordability,housing;interest rates;consumer,https://example.com/demo-news-011
N012,Local retailers test AI assistants for customer enquiries,Small retailers report early productivity gains from supervised automation of routine questions.,business_news_australia,australia_business,Australia,2026-06-20 13:00,Small business automation,AI;automation;retail;business opportunity,https://example.com/demo-news-012
N013,Business confidence steadies despite uneven demand,A survey suggests firms remain cautious on hiring while continuing targeted technology investment.,afr,australia_business,Australia,2026-06-17 06:30,Australia economy,economy;hiring;investment,https://example.com/demo-news-013
N014,Energy upgrades create service opportunities for installers,A state-level transition program is expected to increase demand for audits installation and maintenance.,the_age,australia_public,Australia,2026-06-16 10:30,Energy transition,energy;services;business opportunity,https://example.com/demo-news-014
N015,AI software spending shifts toward measurable workflows,US companies are prioritizing automation projects tied to support sales and back-office outcomes.,cnbc,us_business_tech,United States,2026-06-20 09:00,AI automation,AI;automation;enterprise,https://example.com/demo-news-015
N016,Technology firms increase investment in efficient AI infrastructure,Companies are seeking lower inference costs and more predictable capacity for business applications.,the_verge,us_business_tech,United States,2026-06-19 12:30,US technology market,AI;infrastructure;technology,https://example.com/demo-news-016
N017,Small companies adopt focused automation before broad transformation,A market review finds narrow workflow tools winning budgets faster than large replacement programs.,techcrunch,us_business_tech,United States,2026-06-18 14:30,Small business automation,automation;startup;business opportunity,https://example.com/demo-news-017
N018,Inflation data renews debate over rate timing,New indicators show mixed price pressures and keep businesses attentive to borrowing costs.,reuters,us_wire,United States,2026-06-20 11:30,Cost of living,inflation;interest rates;economy,https://example.com/demo-news-018
N019,Job market cools while demand for digital skills holds,A labor snapshot suggests slower hiring overall but resilient openings in data and automation roles.,ap,us_wire,United States,2026-06-17 15:00,Student jobs,jobs;skills;automation,https://example.com/demo-news-019
N020,Creators diversify revenue beyond platform advertising,Independent publishers are combining subscriptions services and brand partnerships to reduce platform risk.,axios,us_business_tech,United States,2026-06-16 09:30,Creator economy,creator;platform;revenue,https://example.com/demo-news-020
N021,Global trade outlook reflects cautious inventory planning,A cross-market briefing finds companies using shorter orders and multiple suppliers amid policy uncertainty.,bbc,global_cross_check,Global,2026-06-20 05:00,Global trade,trade;supply chain;risk,https://example.com/demo-news-021
N022,Central banks balance inflation progress with growth risks,A global comparison highlights different rate paths and their implications for household demand.,reuters,global_cross_check,Global,2026-06-19 04:30,Cost of living,inflation;rates;global risk,https://example.com/demo-news-022
N023,AI governance approaches converge on transparency needs,A cross-country review identifies shared demand for disclosure testing and human oversight.,ap,global_cross_check,Global,2026-06-18 05:30,AI automation,AI;policy;global risk,https://example.com/demo-news-023
N024,Energy investment expands but grid constraints remain,A global business overview identifies grid services and storage as bottlenecks and opportunity areas.,financial_times,global_cross_check,Global,2026-06-17 05:15,Energy transition,energy;investment;risk,https://example.com/demo-news-024
N025,Australian households favor repair and resale services,A consumer pulse suggests cost pressure is increasing interest in maintenance resale and rental models.,news_com_au,australia_public,Australia,2026-06-15 11:00,Consumer trends,consumer;cost of living;business opportunity,https://example.com/demo-news-025
N026,Digital trade tools lower barriers for specialist exporters,A technology market note describes simpler compliance and storefront tools for cross-border small businesses.,wired,us_business_tech,United States,2026-06-15 08:00,Platform economy,trade;platform;small business,https://example.com/demo-news-026
